test_name,data_shape,missing_pattern,missing_rate,noise_type,noise_level,execution_time,cells_per_sec,success,error,noisy_mse,noisy_mae,noisy_rmse,noisy_mape,noisy_correlation,noisy_residual_std,noisy_residual_mean,noisy_coverage_95,noisy_evaluable_points,use_fourier
Multivariate Correlated [CenteredMA(w=9)],"(200, 10)",mcar,0.201,gaussian,0.1,0.000823974609375,2427259.2592592593,True,,0.5152800408312416,0.5933218274528992,0.7178300918958759,257.0352467693076,0.9824755116593821,0.7149365147993627,0.06438804732077419,0.9577114427860697,402,
Correlated MAR [MISSNET (autotune)],"(200, 10)",mar,0.414,gaussian,0.1,0.8924038410186768,2241.1378213220205,True,,0.8394846651261867,0.6328688045868555,0.9162339576364689,96.97760783686714,0.9735333392298893,0.9148355776417508,0.0506016897649748,0.9528985507246377,828,
Correlated MAR [Mean],"(200, 10)",mar,0.414,gaussian,0.1,4.7206878662109375e-05,42366707.07070707,True,,6.766257256741208,1.861527487132098,2.60120304027602,268.7699427977763,0.7300382930326877,2.600271288154754,0.06961669870960562,0.9227053140096618,828,
Correlated MAR [FFillBFill],"(200, 10)",mar,0.414,gaussian,0.1,0.0001678466796875,11915636.363636363,True,,0.6874668295031996,0.6624898700278646,0.829136194785392,133.16215883078897,0.9761584148188066,0.8285481774191187,0.03122094166831382,0.9408212560386473,828,
Correlated MAR [LinearInterp],"(200, 10)",mar,0.414,gaussian,0.1,0.0005381107330322266,3716707.133362871,True,,0.2603282814758887,0.3793094914842147,0.5102237562833474,67.90723033418061,0.9909770113265132,0.5099323733260308,0.017241116842308935,0.9468599033816425,828,
Correlated MAR [Spline(k=3)],"(200, 10)",mar,0.414,gaussian,0.1,0.013032913208007812,153457.63207961363,True,,0.4132255329658595,0.367857440058503,0.6428262074354619,80.26816464702347,0.986114749802857,0.6390469941136785,0.06960224335559562,0.9746376811594203,828,
"Correlated MAR [SavGol(11,3)]","(200, 10)",mar,0.414,gaussian,0.1,0.0003561973571777344,5614864.792503347,True,,0.41546375374527666,0.5043880075931348,0.6445647785484998,105.46963145764158,0.985547358114207,0.6443820433115407,0.015347182246925247,0.9480676328502415,828,
Correlated MAR [Fourier(K=6)],"(200, 10)",mar,0.414,gaussian,0.1,0.0007688999176025391,2601118.7596899224,True,,1.3696035265596804,0.8858383881131002,1.1703006137568588,131.96314894932055,0.9522503165099515,1.1699497065332116,-0.028656774810373948,0.9553140096618358,828,
Correlated MAR [KNN(k=5)],"(200, 10)",mar,0.414,gaussian,0.1,0.0029180049896240234,685399.7875643435,True,,1.7335357108295322,0.8070929758728929,1.3166380333370034,96.54386241101459,0.9381802502202556,1.316610122878563,-0.008572932008825768,0.9335748792270532,828,
Correlated MAR [IterSVD(rank=5)],"(200, 10)",mar,0.414,gaussian,0.1,0.0005991458892822266,3338085.15718265,True,,5.5701536293151115,1.4321727374871867,2.360117291431744,165.53424223090914,0.7854446908917545,2.356851552151688,0.12411442476719194,0.9057971014492754,828,
Correlated MAR [CenteredMA(w=9)],"(200, 10)",mar,0.414,gaussian,0.1,0.0008580684661865234,2330816.337871631,True,,0.6147463723530161,0.6523427080512653,0.7840576333108531,111.16695176066807,0.978539996275069,0.7838960038945324,0.015919404235061163,0.9710144927536232,828,
Correlated MNAR [MISSNET (autotune)],"(200, 10)",mnar,0.1325,gaussian,0.1,2.5304691791534424,790.3672633029624,True,,0.046999922677505794,0.16853118697565322,0.21679465555567967,10.222449666333972,0.9988840529994204,0.2120976904346475,0.04488309692739828,0.9547169811320755,265,
Correlated MNAR [Mean],"(200, 10)",mnar,0.1325,gaussian,0.1,3.719329833984375e-05,53773128.20512821,True,,11.1553538962583,2.520034686336225,3.3399631579193056,51.63920202308493,0.9526405205615075,2.1919806285459242,2.520034686336225,0.7924528301886793,265,
Correlated MNAR [FFillBFill],"(200, 10)",mnar,0.1325,gaussian,0.1,0.0001690387725830078,11831605.077574048,True,,0.5371029789033464,0.5877129494798271,0.7328730987717766,26.56372402347959,0.9870268303002135,0.717887590900014,0.1474462130240057,0.9471698113207547,265,
Correlated MNAR [LinearInterp],"(200, 10)",mnar,0.1325,gaussian,0.1,0.0004911422729492188,4072139.805825243,True,,0.18279753864051065,0.3001626381803099,0.42754828808043505,14.42666268118936,0.9956945105497274,0.41672191443790046,0.09560535899060178,0.9320754716981132,265,
Correlated MNAR [Spline(k=3)],"(200, 10)",mnar,0.1325,gaussian,0.1,0.02720785140991211,73508.19327362905,True,,1.1429594443074702,0.39710233868192496,1.0690928137011633,18.34939944568769,0.971478408482741,1.0685813957971282,0.033064253563798364,0.9849056603773585,265,
"Correlated MNAR [SavGol(11,3)]","(200, 10)",mnar,0.1325,gaussian,0.1,0.00033783912658691406,5919977.417078335,True,,0.2982697045487358,0.41232265184214995,0.5461407369430848,17.454939284665397,0.9930623191990989,0.5258636979588779,0.14743498810577427,0.9283018867924528,265,
Correlated MNAR [Fourier(K=6)],"(200, 10)",mnar,0.1325,gaussian,0.1,0.0007059574127197266,2833032.083755488,True,,1.9956719944230603,0.9647133646558844,1.4126825526009232,34.30630186347213,0.9587146458488212,1.3391245339262654,0.4499082985007309,0.9584905660377359,265,
Correlated MNAR [KNN(k=5)],"(200, 10)",mnar,0.1325,gaussian,0.1,0.002063274383544922,969333.0251906633,True,,0.3341306129074058,0.39526856213022016,0.578040321177862,16.844981830056884,0.992988569312045,0.5424444794338147,0.19971129071533147,0.9207547169811321,265,
Correlated MNAR [IterSVD(rank=5)],"(200, 10)",mnar,0.1325,gaussian,0.1,0.0005393028259277344,3708491.6003536694,True,,9.368342339131285,1.8529591922446933,3.060774793925761,27.147777502689834,0.9075476730451347,2.48542172595794,1.7863429635060404,0.8301886792452831,265,
Correlated MNAR [CenteredMA(w=9)],"(200, 10)",mnar,0.1325,gaussian,0.1,0.0008769035339355469,2280752.582925503,True,,0.570832690938105,0.6163091665590344,0.7555347053167742,24.7245764945231,0.9875431328566058,0.7133999807956313,0.24878335623368775,0.9358490566037736,265,
Correlated Long Gaps [MISSNET (autotune)],"(200, 10)",mcar,0.08,gaussian,0.1,1.5948882102966309,1254.006385581108,True,,,,,,0.0,,,,0,
Correlated Long Gaps [Mean],"(200, 10)",mcar,0.08,gaussian,0.1,3.4809112548828125e-05,57456219.17808219,True,,,,,,0.0,,,,0,
Correlated Long Gaps [FFillBFill],"(200, 10)",mcar,0.08,gaussian,0.1,0.0010929107666015625,1829975.5671902269,True,,,,,,0.0,,,,0,
Correlated Long Gaps [LinearInterp],"(200, 10)",mcar,0.08,gaussian,0.1,0.0009920597076416016,2016007.6904590242,True,,,,,,0.0,,,,0,
Correlated Long Gaps [Spline(k=3)],"(200, 10)",mcar,0.08,gaussian,0.1,0.032202959060668945,62106.0939223656,True,,,,,,0.0,,,,0,
