vintage,tgt_month,horizon,truth,cafe,emdfm,persistence,ar1
2015-07-01,2015-06-01,1,-0.3068189815841116,-0.11248731264217132,0.21447968155843045,-0.17406047647332556,0.046698639564805036
2015-07-01,2015-07-01,2,0.6256591421490931,-0.11248731264217132,0.21447968155843045,-0.17406047647332556,0.046698639564805036
2015-09-01,2015-08-01,1,-0.1710842383224609,0.38175142084437474,0.40375567528894896,0.5548642170159823,0.4160520757299143
2015-09-01,2015-09-01,2,-0.2813206551951275,0.38175142084437474,0.40375567528894896,0.5548642170159823,0.4160520757299143
2015-11-01,2015-10-01,1,-0.4748269909224945,0.17535996784243926,0.1144422827703416,-0.18546321194916615,0.03960680758365298
2015-11-01,2015-11-01,2,-0.7211710629219326,0.17535996784243926,0.1144422827703416,-0.18546321194916615,0.03960680758365298
2016-01-01,2015-12-01,1,-0.49348912577515947,-0.4675158269854761,0.22901954768097643,-0.5654478755323211,-0.15396189234576438
2016-01-01,2016-01-01,2,0.49600325897509734,-0.4675158269854761,0.22901954768097643,-0.5654478755323211,-0.15396189234576438
2016-03-01,2016-02-01,1,-0.5201604974451435,0.5379792463207587,0.4304096635712287,0.9202919830194389,0.6006728579517797
2016-03-01,2016-03-01,2,-0.770933566450438,0.5379792463207587,0.4304096635712287,0.9202919830194389,0.6006728579517797
2016-05-01,2016-04-01,1,0.3193639850108454,-0.22953284847890076,0.060681110254332676,-0.596423047424377,-0.1715742107756537
2016-05-01,2016-05-01,2,-0.22629734095191978,-0.22953284847890076,0.060681110254332676,-0.596423047424377,-0.1715742107756537
2016-07-01,2016-06-01,1,0.48389221791156345,0.024348009557007555,0.10390732322637405,-0.41736894957340454,-0.08057089860139219
2016-07-01,2016-07-01,2,0.1150945557358618,0.024348009557007555,0.10390732322637405,-0.41736894957340454,-0.08057089860139219
2016-09-01,2016-08-01,1,-0.10375130176951686,0.16127600448867643,0.3949231972618702,0.7388488086703227,0.506820934032898
2016-09-01,2016-09-01,2,-0.08865343119746072,0.16127600448867643,0.3949231972618702,0.7388488086703227,0.506820934032898
2016-11-01,2016-10-01,1,0.06940965093038542,0.16938410626379455,0.13043637893507523,0.05873580000601564,0.16098552346036718
2016-11-01,2016-11-01,2,-0.3850452318468811,0.16938410626379455,0.13043637893507523,0.05873580000601564,0.16098552346036718
2017-01-01,2016-12-01,1,0.7055280199313785,0.2768854842902958,0.1578411588777533,-0.4415472060959935,-0.0934666374083607
2017-01-01,2017-01-01,2,-0.22723560797777154,0.2768854842902958,0.1578411588777533,-0.4415472060959935,-0.0934666374083607
2017-03-01,2017-02-01,1,-0.38549837501049566,-0.1544499020204076,0.19096763841919953,-0.2509406811259218,0.003475766637145994
2017-03-01,2017-03-01,2,0.6214169136645964,-0.1544499020204076,0.19096763841919953,-0.2509406811259218,0.003475766637145994
2017-05-01,2017-04-01,1,0.9969403101062646,0.8528945924545551,0.23293799393993694,0.5472208385033817,0.40849784404773815
2017-05-01,2017-05-01,2,0.08632680023907824,0.8528945924545551,0.23293799393993694,0.5472208385033817,0.40849784404773815
2017-07-01,2017-06-01,1,0.20851527770453515,0.5124394440366673,0.12207354887475985,-0.004284463630988,0.12864450615953138
2017-07-01,2017-07-01,2,-0.2499708172327253,0.5124394440366673,0.12207354887475985,-0.004284463630988,0.12864450615953138
2017-09-01,2017-08-01,1,-0.45484028848497005,0.4235841866365332,0.2705881089756522,0.19131696589198555,0.22788423667964913
2017-09-01,2017-09-01,2,0.11626012880352476,0.08665546052248568,0.3008564209804222,0.19131696589198555,0.22788423667964913
2017-11-01,2017-10-01,1,1.2365560140723098,0.2714312662413457,0.21015980013039434,0.2836677708594415,0.2742107762042659
2017-11-01,2017-11-01,2,0.25712217474040955,0.2714312662413457,0.21015980013039434,0.2836677708594415,0.2742107762042659
2018-01-01,2017-12-01,1,0.2345904426205081,0.2191988719927574,0.3240804638538308,0.2370357260790712,0.2510161971349497
2018-01-01,2018-01-01,2,-0.0018721766468665635,0.2191988719927574,0.3240804638538308,0.2370357260790712,0.2510161971349497
2018-03-01,2018-02-01,1,0.2427946478813503,0.1433857718944578,0.22910236011650126,-0.05183129588930413,0.10455853586571012
2018-03-01,2018-03-01,2,0.4534981699050533,0.1433857718944578,0.22910236011650126,-0.05183129588930413,0.10455853586571012
2018-05-01,2018-04-01,1,1.1294728569692047,0.5202817650732908,0.269528337137377,0.5135098505196112,0.3913088784677926
2018-05-01,2018-05-01,2,-0.946948327533903,0.5202817650732908,0.269528337137377,0.5135098505196112,0.3913088784677926
2018-07-01,2018-06-01,1,0.8215735786215816,0.47144392409525493,0.19055169851773596,-0.0923147355059939,0.0838344863643027
2018-07-01,2018-07-01,2,0.12634228235999245,0.47144392409525493,0.19055169851773596,-0.0923147355059939,0.0838344863643027
2018-09-01,2018-08-01,1,0.6772933873277154,0.1632543075584273,0.31942725419846046,0.11219368528685436,0.18770991803168202
2018-09-01,2018-09-01,2,0.043523731929440146,0.1632543075584273,0.31942725419846046,0.11219368528685436,0.18770991803168202
2018-11-01,2018-10-01,1,-0.16737692789394742,0.3665610109205826,0.29192135257943336,0.2521561971660091,0.25858335935507776
2018-11-01,2018-11-01,2,0.07973366110878288,0.3665610109205826,0.29192135257943336,0.2521561971660091,0.25858335935507776
2019-01-01,2018-12-01,1,0.031241333788045722,0.7196774829421597,0.26720940923269776,0.604328399295806,0.4371677292958198
2019-01-01,2019-01-01,2,-0.6608353938973188,0.7196774829421597,0.26720940923269776,0.604328399295806,0.4371677292958198
2019-03-01,2019-02-01,1,-0.518661840574719,0.1912203099298656,0.09568394968022595,-0.5811594233627204,-0.16380109815494504
2019-03-01,2019-03-01,2,0.010697204927723192,0.1912203099298656,0.09568394968022595,-0.5811594233627204,-0.16380109815494504
2019-05-01,2019-04-01,1,-0.5473150389978976,0.03484630503979391,0.17853541810547363,-0.10500611686907746,0.07758566077679606
2019-05-01,2019-05-01,2,0.1395264535141827,0.03484630503979391,0.17853541810547363,-0.10500611686907746,0.07758566077679606
2019-07-01,2019-06-01,1,0.12187739512290463,0.4543381609682814,0.17450956488875052,0.36465055296757143,0.31512828598988596
2019-07-01,2019-07-01,2,-0.5248652711969726,0.4543381609682814,0.17450956488875052,0.36465055296757143,0.31512828598988596
2019-09-01,2019-08-01,1,0.757570872256963,0.0609619514289996,0.18028773924464303,-0.21849132622673295,0.019253768274817618
2019-09-01,2019-09-01,2,-0.31309482972101677,0.0609619514289996,0.18028773924464303,-0.21849132622673295,0.019253768274817618
2019-11-01,2019-10-01,1,-0.8550005307015773,-0.18551066977056924,0.1640360187335521,-0.3879518491229028,-0.06659606321767214
2019-11-01,2019-11-01,2,0.5512998337060537,0.21189287698261125,0.036221055195414936,-0.3879518491229028,-0.06659606321767214
2020-01-01,2019-12-01,1,-0.20314424783958174,0.8662603653591866,0.5078162437007717,1.0893662491032963,0.6814320442549697
2020-01-01,2020-01-01,2,-0.5951435148005224,0.8662603653591866,0.5078162437007717,1.0893662491032963,0.6814320442549697
2020-03-01,2020-02-01,1,0.32964085630577955,-0.06557468469630234,0.15558286198349214,-0.3091297143670957,-0.027117037861531995
2020-03-01,2020-03-01,2,-4.081101152856537,-0.06557468469630234,0.15558286198349214,-0.3091297143670957,-0.027117037861531995
2020-05-01,2020-04-01,1,-14.204534977639671,0.3676262587128928,-2.343931332853287,-5.552213846964182,-2.6824555175646143
2020-05-01,2020-05-01,2,1.5579252601223281,0.3676262587128928,-2.343931332853287,-5.552213846964182,-2.6824555175646143
2020-07-01,2020-06-01,1,6.377139012871069,-1.0399059103052992,-2.753751069526744,1.3795378073520048,0.8073146509187498
2020-07-01,2020-07-01,2,3.5671578317648667,-1.0399059103052992,-2.753751069526744,1.3795378073520048,0.8073146509187498
2020-09-01,2020-08-01,1,0.9696666039146429,-0.1477993100785507,1.174910535654869,2.9831635252087096,1.6064568536980333
2020-09-01,2020-09-01,2,-0.03962031280977385,-0.1477993100785507,1.174910535654869,2.9831635252087096,1.6064568536980333
2020-11-01,2020-10-01,1,0.6591957015615435,-0.7230624889553798,0.34128000022930194,-0.6338147591618437,-0.18623865296272551
2020-11-01,2020-11-01,2,0.441703543004035,-0.7230624889553798,0.34128000022930194,-0.6338147591618437,-0.18623865296272551
2021-01-01,2020-12-01,1,1.2820635872185626,0.39749968373433514,0.34426151482352574,0.393824022690481,0.3242963938600325
2021-01-01,2021-01-01,2,0.6188305656162463,0.39749968373433514,0.34426151482352574,0.393824022690481,0.3242963938600325
