sample,horizon,n,cafe_rmse,cafe_mae,emdfm_rmse,emdfm_mae,persistence_rmse,persistence_mae,ar1_rmse,ar1_mae
full,1,59,2.283155856499087,0.9587907769563274,2.096677433712308,0.9140534318363657,1.6414855390140428,0.9504225454983998,1.8584611475612167,0.8872602671271644
full,2,59,1.1239921528067967,0.7430324786050568,1.2951112733817716,0.7153608776367703,1.4211763947120128,0.8925801755766204,1.1067751969338089,0.7016011592088063
ex2020,1,53,0.8252705028328986,0.5811310590924146,0.8040848836805733,0.5906158311579546,0.9925409519183142,0.709273402471559,0.8448811305655585,0.612447212200789
ex2020,2,53,0.7802727928435891,0.5904090210692571,0.6606446746432527,0.4779043041834248,0.8294773920495655,0.6379186393385586,0.6937218671025493,0.5054653848728576
